1440	180	2847
1400	180	2657
1400	160	2101
1420	180	2058
180	120	1685
1420	160	1675
340	160	1500
1600	340	1389
1440	160	1302
200	100	1294
1640	420	1175
320	140	1131
1360	180	1131
960	540	1121
1460	160	1111
1600	420	1103
300	140	1102
920	540	1083
1380	180	1056
1620	380	1054
960	140	1050
1180	540	1049
1580	440	1015
1220	580	1004
1260	640	1003
1700	280	985
1240	580	977
980	540	968
1640	380	961
1660	400	949
1640	360	945
1600	460	934
1600	380	932
1660	380	927
1580	460	923
980	140	922
1620	460	920
1600	480	909
1200	580	886
1620	420	873
280	140	869
1620	360	866
1660	340	864
260	140	853
1700	440	847
340	140	836
1660	360	830
1600	400	827
760	540	822
240	140	820
1640	340	819
1640	320	810
1480	200	808
200	140	800
1600	360	798
1640	400	797
1620	440	793
1560	460	788
1560	440	782
1560	480	775
1180	580	774
1600	300	770
1620	320	766
300	160	764
720	520	761
200	120	761
1520	460	756
1480	500	753
1260	580	752
1520	520	746
920	560	744
980	240	741
1580	400	741
1280	600	737
1640	300	732
1560	400	729
1160	580	729
260	160	729
1600	440	728
1080	540	728
1580	380	728
1580	480	725
240	160	721
1300	580	720
1140	580	719
1100	540	718
280	160	717
1620	340	708
1480	520	708
1620	400	708
1040	540	708
1500	160	707
1060	140	706
1560	420	705
1580	420	700
1280	580	699
1640	440	696
220	120	694
1580	500	686
740	520	686
1100	580	675
1000	260	670
880	560	668
1300	600	667
1660	420	664
1500	560	661
160	140	658
1500	200	658
1380	160	655
380	700	648
700	500	645
220	160	644
840	540	644
1120	580	644
1060	580	643
300	120	636
880	540	630
1620	480	625
1540	160	623
1440	500	620
860	560	613
280	120	612
520	520	610
300	180	609
1000	140	606
200	160	606
1280	620	600
1640	240	597
940	140	597
1620	240	594
900	560	593
1660	500	592
220	140	592
820	540	589
1560	500	589
840	560	589
1600	320	574
180	140	574
1620	260	574
260	180	573
1000	120	570
860	540	570
240	120	566
140	160	564
1020	160	557
1640	460	555
1540	200	550
1640	280	549
760	500	546
1540	440	545
1000	540	544
1640	260	543
1340	560	541
1600	240	541
240	180	536
1620	300	536
1080	580	535
1540	420	532
1200	600	532
1700	420	529
980	200	529
1600	280	529
960	560	528
780	540	526
1600	500	523
1220	540	518
1000	560	518
1060	540	515
1200	540	514
780	560	514
800	540	513
1040	580	513
1120	540	509
1660	480	507
1020	540	507
1660	260	506
980	580	506
1480	160	505
160	160	504
